name,url,address,airport,distance,unit,rating,lat,long
Hotel Quartier Latin,https://www.tripadvisor.com/Hotel_Review-g187147-d198049-Reviews-Hotel_Quartier_Latin-Paris_Ile_de_France.html,"9 rue des Ecoles, 75005 Paris France",Orly Field,8,mi,3.0,48.8476107,2.3517393
Hotel Tilsitt Etoile Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d601825-Reviews-Hotel_Tilsitt_Etoile_Paris-Paris_Ile_de_France.html,"23 rue Brey, 75017 Paris France",Orly Field,11,mi,3.0,48.876985,2.295058
Au Boeuf Couronne Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d12379323-Reviews-Au_Boeuf_Couronne_Hotel-Paris_Ile_de_France.html,"188 avenue Jean Jaures, 75019 Paris France",Charles De Gaulle Airport,11,mi,3.0,48.8880649,2.3909511
Hotel Eiffel Seine,https://www.tripadvisor.com/Hotel_Review-g187147-d572984-Reviews-Hotel_Eiffel_Seine-Paris_Ile_de_France.html,"3, boulevard de Grenelle 15 Arr., 75015 Paris France",Orly Field,9,mi,3.0,48.8536669,2.2899544
Hotel Lilas Blanc,https://www.tripadvisor.com/Hotel_Review-g187147-d1179143-Reviews-Hotel_Lilas_Blanc-Paris_Ile_de_France.html,"5 rue de l Avre 15 Arr., 75015 Paris France",Orly Field,9,mi,4.5,48.8480059,2.2978884
Hotel Brighton - Esprit de France,https://www.tripadvisor.com/Hotel_Review-g187147-d233725-Reviews-Hotel_Brighton_Esprit_de_France-Paris_Ile_de_France.html,"218 rue de Rivoli 01 Arr., 75001 Paris France",Orly Field,10,mi,4.0,48.864876,2.329078
Hotel Grand Powers,https://www.tripadvisor.com/Hotel_Review-g187147-d228837-Reviews-Hotel_Grand_Powers-Paris_Ile_de_France.html,"52 rue Francois 1er, 75008 Paris France",Orly Field,10,mi,5.0,48.8691236,2.3031497
Hotel du Louvre,https://www.tripadvisor.com/Hotel_Review-g187147-d189700-Reviews-Hotel_du_Louvre-Paris_Ile_de_France.html,"Place André Malraux, 75001 Paris France",Orly Field,9,mi,3.5,48.8635405,2.3353617
Hotel Madison,https://www.tripadvisor.com/Hotel_Review-g187147-d228699-Reviews-Hotel_Madison-Paris_Ile_de_France.html,"143 Boulevard St Germain, 75006 Paris France",Orly Field,9,mi,4.0,48.842721,2.32959
Hotel Chatillon Paris Montparnasse,https://www.tripadvisor.com/Hotel_Review-g187147-d529924-Reviews-Hotel_Chatillon_Paris_Montparnasse-Paris_Ile_de_France.html,"11 Square de Chatillon metro ligne 4 porte d'orleans et Alesia, 75014 Paris France",Orly Field,7,mi,3.0,48.825692,2.323217
Hotel Da Vinci,https://www.tripadvisor.com/Hotel_Review-g187147-d6675948-Reviews-Hotel_Da_Vinci-Paris_Ile_de_France.html,"25 Rue des Saints-Peres, 75006 Paris France",Orly Field,9,mi,4.0,48.8566095,2.3319873
9Confidentiel,https://www.tripadvisor.com/Hotel_Review-g187147-d14924522-Reviews-9Confidentiel-Paris_Ile_de_France.html,"58 rue du Roi de Sicile, 75004 Paris France",Orly Field,9,mi,5.0,48.8568464,2.3562436
Hotel de Londres Eiffel,https://www.tripadvisor.com/Hotel_Review-g187147-d265476-Reviews-Hotel_de_Londres_Eiffel-Paris_Ile_de_France.html,"1 rue Augereau, 75007 Paris France",Orly Field,9,mi,4.0,48.857936,2.3016468
