restname,address_x
Bistrot de L'Oulette,"38 rue des Tournelles Bastille, Place des Vosges, Chemin vert, Opera de Bastille, 75004 Paris France"
Il Forno Di Napoli,"162 boulevard du Montparnasse Ouvert Le Dimanche, 75014 Paris France"
Les petites bouchees,"4 rue du Roi de Sicile, 75004 Paris France"
La Vache et Le Cuisinier,"18 rue des 3 Freres Montmartre, 75018 Paris France"
Le Petit Littre,"16 rue Littre, 75006 Paris France"
Restaurant Akrame,"7 rue Tronchet, 75008 Paris France"
Ristorante Adaggio,"207 rue la Fayette, 75010 Paris France"
SOURIRE GALANDE tapas francaises,"27 rue Galande, 75005 Paris France"
Gemini Odeon,"9 rue Monsieur le Prince, 75006 Paris France"
Papelli,"74 rue du Faubourg Saint Denis, 75010 Paris France"
Loufoque,"57 rue Galande, 75005 Paris France"
Le Bar de Jarente,"5 rue de Jarente Marais, 75004 Paris France"
Flottes,"2 rue Cambon, 75001 Paris France"
Tomy & Co,"22 rue Surcouf, 75007 Paris France"
La Rughetta,"41 rue Lepic Montmartre, Abbeses, 75018 Paris France"
L'Apibo,"31 rue Tiquetonne, 75002 Paris France"
Sur Mesure par Thierry Marx,"251 Rue Saint-Honore, 75001 Paris France"
Ristorante Italiano 0039,"24 rue des Tournelles Quartier Le Marais, 75004 Paris France"
Via Del Campo,"22 rue du Champ de Mars Numero de la suite, intersection, place, 75007 Paris France"
Bien Bien,"30 bis, rue Bergere, 75009 Paris France"
Les Poulettes Batignolles,"10 rue de Cheroy, 75017 Paris France"
Pause Bobun,"3 rue Buffon, 75005 Paris France"
Le Jourdain,"101, Rue des Couronnes, 75020 Paris France"
Brasserie Bellanger,"140 rue du Faubourg Poissonniere, 75010 Paris France"
Il Farniente,"250 rue du Faubourg Saint Antoine, 75012 Paris France"
Papy aux Fourneaux,"70 rue de l ouest Montparnasse-Gaîté-Pernety, 75014 Paris France"
Sur la Route de Plouescat,"4 rue Lamarck, 75018 Paris France"
Sola,"12 rue de l Hotel Colbert, 75005 Paris France"
Perchiana,"7 rue Mademoiselle, 75015 Paris France"
Le Sagittaire,"77 rue Lamarck, 75018 Paris France"
Il etait une Oie dans le Sud Ouest,"8 rue Gustave Flaubert, 75017 Paris France"
Mamie Cherie,"16 Rue De Candie, 75011 Paris France"
Bistrot l'Olivier,"88 rue Ordener, 75018 Paris France"
Paris-Breizh Place d’Italie,"166 boulevard Vincent Auriol, 75013 Paris France"
Le Souffle,"36 rue du Mont Thabor, 75001 Paris France"
Le Barav,"6 rue Charles Francois Dupuis, 75003 Paris France"
Le Taillevent,"15 rue Lamennais, 75008 Paris France"
Les Enfants Rouges,"9 rue de Beauce, 75003 Paris France"
Le Colimacon Marais,"44 rue Vieille du Temple Le Marais, 75004 Paris France"
Bistrot des Vosges,"31 boulevard Beaumarchais Bastille/Marais, 75004 Paris France"
Etude,"14 rue du Bouquet de Longchamp, 75116 Paris France"
IZU,"7 rue Veronese, 75013 Paris France"
Les Tantes Jeanne,"42 rue Veron, 75018 Paris France"
Maison Rostang,"20 rue Rennequin, 75017 Paris France"
PerBacco,"44 rue Dalayrac, 75002 Paris France"
La Forge,"26 avenue Mathurin Moreau, 75019 Paris France"
Anicia,"97 rue du Cherche Midi, 75006 Paris France"
Pottoka,"4 rue de l Exposition, 75007 Paris France"
My Noodles,"129 boulevard du Montparnasse, 75006 Paris France"
Assanabel,"6 rue d Alesia, 75014 Paris France"
